Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.495, 0.00244546, 0.0113587, 0.389207, 0.0113587, 0.0508152, 0.10686, 3
0.5, 0.00245221, 0.0113873, 0.390282, 0.0113873, 0.0523266, 0.0960093, 3
0.505, 0.0024589, 0.0114204, 0.391346, 0.0114204, 0.049294, 0.0835505, 3
0.51, 0.00246558, 0.011451, 0.392409, 0.011451, 0.0475315, 0.0805093, 3
0.515, 0.00247224, 0.0114812, 0.393469, 0.0114812, 0.0483162, 0.0790485, 3
0.52, 0.00247887, 0.0115116, 0.394524, 0.0115116, 0.0501285, 0.0796609, 3
0.525, 0.00248548, 0.0115419, 0.395576, 0.0115419, 0.0504058, 0.0979084, 3
0.53, 0.00249206, 0.0115721, 0.396623, 0.0115721, 0.0481868, 0.0815999, 3
0.535, 0.00249862, 0.0116021, 0.397667, 0.0116021, 0.0496841, 0.0813254, 3
0.54, 0.00250515, 0.011632, 0.398707, 0.011632, 0.0497273, 0.0862088, 3
0.545, 0.00251166, 0.0116618, 0.399743, 0.0116618, 0.0477977, 0.0794412, 3
0.55, 0.00251815, 0.0116916, 0.400776, 0.0116916, 0.0501509, 0.081452, 3
0.555, 0.00252461, 0.0117212, 0.401805, 0.0117212, 0.0487441, 0.0823, 3
0.56, 0.00253105, 0.0117507, 0.40283, 0.0117507, 0.0483416, 0.0820356, 3
0.565, 0.00253747, 0.0117801, 0.403851, 0.0117801, 0.0497322, 0.0814408, 3
0.57, 0.00254386, 0.0118094, 0.404869, 0.0118094, 0.0492437, 0.082105, 3
0.575, 0.00255024, 0.0118387, 0.405883, 0.0118387, 0.0517548, 0.0948779, 3
0.58, 0.00255658, 0.0118678, 0.406893, 0.0118678, 0.0488682, 0.0817464, 3
0.585, 0.00256291, 0.0118968, 0.4079, 0.0118968, 0.0475044, 0.0834456, 3
0.59, 0.00256922, 0.0119255, 0.408904, 0.0119255, 0.0489471, 0.0813478, 3
0.595, 0.0025755, 0.0119544, 0.409904, 0.0119544, 0.048829, 0.0826469, 3
0.6, 0.00258176, 0.0119833, 0.4109, 0.0119833, 0.0535577, 0.0885815, 3
0.605, 0.00258822, 0.0120256, 0.411928, 0.0120256, 0.0506832, 0.103732, 5
0.61, 0.00259446, 0.0120094, 0.412922, 0.0120094, 0.0495064, 0.0948776, 4
0.615, 0.00260046, 0.0120559, 0.413876, 0.0120559, 0.0481527, 0.0820386, 3
0.62, 0.00260659, 0.0120952, 0.414851, 0.0120952, 0.0478966, 0.0947245, 5
0.625, 0.00261328, 0.0121327, 0.415917, 0.0121327, 0.0494414, 0.103895, 5
0.63, 0.00261933, 0.0121485, 0.41688, 0.0121485, 0.0517175, 0.102257, 4
0.635, 0.00262501, 0.0121771, 0.417783, 0.0121771, 0.0487261, 0.0574225, 3
0.64, 0.00263109, 0.0122145, 0.41875, 0.0122145, 0.0493483, 0.106145, 5
0.645, 0.00263771, 0.0122123, 0.419805, 0.0122123, 0.0480332, 0.0962167, 5
0.65, 0.00264361, 0.0122897, 0.420744, 0.0122897, 0.0486698, 0.0821558, 3
0.655, 0.00264922, 0.0122964, 0.421636, 0.0122964, 0.050294, 0.0700364, 3
0.66, 0.00265517, 0.0123163, 0.422584, 0.0123163, 0.0483192, 0.108328, 5
