Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
1.105, 0.0155687, 0.0172336, 0.555967, 0.0172336, 0.0362852, 0.140049
1.11, 0.0155873, 0.0171944, 0.551969, 0.0171944, 0.0388867, 0.207517
1.115, 0.0156159, 0.0170313, 0.548377, 0.0170313, 0.0371121, 0.15759
1.12, 0.0156297, 0.0170449, 0.544312, 0.0170449, 0.0368592, 0.117601
1.125, 0.0156674, 0.0167219, 0.541124, 0.0167219, 0.0394, 0.116792
1.13, 0.0156641, 0.0167405, 0.536568, 0.0167405, 0.0375443, 0.132514
1.135, 0.0157055, 0.0165185, 0.533595, 0.0165185, 0.0358337, 0.17464
1.14, 0.0157151, 0.0165986, 0.529582, 0.0165986, 0.0383312, 0.147213
1.145, 0.015733, 0.0165255, 0.525899, 0.0165255, 0.0384303, 0.171046
1.15, 0.0157729, 0.0161983, 0.522993, 0.0161983, 0.0366097, 0.100394
1.155, 0.0157601, 0.0159528, 0.518386, 0.0159528, 0.0386478, 0.159557
1.16, 0.0158311, 0.0162803, 0.516576, 0.0162803, 0.037992, 0.108205
1.165, 0.0158335, 0.0159865, 0.512558, 0.0159865, 0.0367437, 0.106351
1.17, 0.0158438, 0.0158727, 0.508847, 0.0158727, 0.0374206, 0.155559
1.175, 0.0158909, 0.0155646, 0.506356, 0.0155646, 0.0378237, 0.175861
1.18, 0.015887, 0.0158759, 0.502276, 0.0158759, 0.0383644, 0.148475
1.185, 0.0159148, 0.0156793, 0.499246, 0.0156793, 0.0418597, 0.232319
1.19, 0.0159383, 0.015347, 0.496117, 0.015347, 0.0390966, 0.136788
1.195, 0.0159489, 0.0155995, 0.492627, 0.0155995, 0.0369408, 0.124105
1.2, 0.0159989, 0.0150033, 0.490385, 0.0150033, 0.0389992, 0.137619
1.205, 0.0159778, 0.0154827, 0.486004, 0.0154827, 0.0371308, 0.139336
1.21, 0.016018, 0.0150737, 0.483534, 0.0150737, 0.0379293, 0.1134
1.215, 0.0160425, 0.0149694, 0.480616, 0.0149694, 0.0378369, 0.0962903
1.22, 0.016062, 0.0150467, 0.477584, 0.0150467, 0.0370402, 0.14179
1.225, 0.0160921, 0.0147803, 0.474903, 0.0147803, 0.0369096, 0.139022
1.23, 0.0160966, 0.0148053, 0.471499, 0.0148053, 0.0365447, 0.097968
1.235, 0.0161299, 0.0148196, 0.468976, 0.0148196, 0.038426, 0.256769
1.24, 0.0161307, 0.0144873, 0.46554, 0.0144873, 0.0370946, 0.143475
1.245, 0.0161733, 0.0143953, 0.463346, 0.0143953, 0.0353131, 0.217013
1.25, 0.0161844, 0.0145247, 0.460278, 0.0145247, 0.0389216, 0.128981
1.255, 0.0162021, 0.0141122, 0.457433, 0.0141122, 0.0381552, 0.137088
1.26, 0.0162151, 0.0145805, 0.454488, 0.0145805, 0.0360605, 0.121949
1.265, 0.0162635, 0.0141407, 0.452563, 0.0141407, 0.0372973, 0.178195
1.27, 0.0162623, 0.014047, 0.449284, 0.014047, 0.0382244, 0.151176
1.275, 0.0162773, 0.01383, 0.44649, 0.01383, 0.0382443, 0.175845
1.28, 0.0163105, 0.0141268, 0.444225, 0.0141268, 0.038064, 0.136928
1.285, 0.0163285, 0.0138671, 0.44157, 0.0138671, 0.0380956, 0.202562
1.29, 0.0163493, 0.0138196, 0.439023, 0.0138196, 0.0374151, 0.206367
1.295, 0.016357, 0.0138394, 0.436153, 0.0138394, 0.0374958, 0.134798
1.3, 0.0163838, 0.0136035, 0.433822, 0.0136035, 0.039397, 0.219791
1.305, 0.016409, 0.0134198, 0.431474, 0.0134198, 0.0385584, 0.202181
1.31, 0.0164212, 0.0135996, 0.428811, 0.0135996, 0.0375544, 0.174259
1.315, 0.0164447, 0.0133151, 0.426472, 0.0133151, 0.038703, 0.118067
1.32, 0.0164641, 0.013392, 0.424054, 0.013392, 0.0373206, 0.166486
1.325, 0.0164849, 0.0132315, 0.421695, 0.0132315, 0.0389911, 0.129361
1.33, 0.0164966, 0.0133137, 0.419131, 0.0133137, 0.0363755, 0.174993
1.335, 0.0165114, 0.012928, 0.416676, 0.012928, 0.0383355, 0.127096
1.34, 0.0165433, 0.013377, 0.414674, 0.013377, 0.03698, 0.172357
1.345, 0.0165565, 0.0129235, 0.412227, 0.0129235, 0.0379616, 0.117911
1.35, 0.0165788, 0.0128199, 0.410032, 0.0128199, 0.0378979, 0.210431
1.355, 0.016594, 0.0128844, 0.407686, 0.0128844, 0.0400361, 0.213178
1.36, 0.01661, 0.0127051, 0.405385, 0.0127051, 0.0368503, 0.167299
1.365, 0.0166264, 0.0127943, 0.403117, 0.0127943, 0.0366773, 0.154023
1.37, 0.0166566, 0.0127138, 0.401205, 0.0127138, 0.0374163, 0.185833
1.375, 0.0166905, 0.0130204, 0.399403, 0.0130204, 0.0362058, 0.141843
1.38, 0.0166695, 0.0120815, 0.396313, 0.0120815, 0.039249, 0.110377
1.385, 0.0167036, 0.0124931, 0.394558, 0.0124931, 0.0378974, 0.104516
1.39, 0.016727, 0.0123383, 0.39257, 0.0123383, 0.0372528, 0.191535
1.395, 0.0167451, 0.0123904, 0.39048, 0.0123904, 0.0364883, 0.170685
1.4, 0.0167516, 0.0122397, 0.38814, 0.0122397, 0.0433132, 0.155893
1.405, 0.0167925, 0.0123293, 0.386618, 0.0123293, 0.0379485, 0.207111
1.41, 0.0167764, 0.0118973, 0.383808, 0.0118973, 0.0404806, 0.145863
1.415, 0.0168205, 0.0122362, 0.382395, 0.0122362, 0.0386631, 0.119877
1.42, 0.0168425, 0.012094, 0.380498, 0.012094, 0.0391323, 0.150555
1.425, 0.0168461, 0.0120529, 0.378205, 0.0120529, 0.0375608, 0.159104
1.43, 0.0168661, 0.0118305, 0.376304, 0.0118305, 0.0386359, 0.173958
1.435, 0.016893, 0.0118775, 0.374574, 0.0118775, 0.0390624, 0.220382
1.44, 0.0168893, 0.0115457, 0.372188, 0.0115457, 0.037902, 0.133784
1.445, 0.0169278, 0.0120048, 0.370749, 0.0120048, 0.0397544, 0.128672
1.45, 0.0169472, 0.0116462, 0.368908, 0.0116462, 0.0374059, 0.113329
1.455, 0.0169512, 0.0116208, 0.366754, 0.0116208, 0.0371985, 0.124796
1.46, 0.016975, 0.0116358, 0.365048, 0.0116358, 0.0383338, 0.118698
1.465, 0.0169911, 0.0115486, 0.363192, 0.0115486, 0.0390917, 0.231521
1.47, 0.0169931, 0.0112682, 0.361056, 0.0112682, 0.0400808, 0.170544
1.475, 0.0170334, 0.0115873, 0.35975, 0.0115873, 0.0397152, 0.132369
1.48, 0.0170424, 0.0112464, 0.357798, 0.0112464, 0.0388964, 0.119599
1.485, 0.0170643, 0.011408, 0.356137, 0.011408, 0.0363186, 0.205525
1.49, 0.0170688, 0.0112761, 0.354131, 0.0112761, 0.0396056, 0.178977
1.495, 0.0170916, 0.0114365, 0.352522, 0.0114365, 0.0383131, 0.190533
1.5, 0.0170956, 0.0109579, 0.350542, 0.0109579, 0.0396147, 0.179505
1.505, 0.0171456, 0.0110076, 0.34952, 0.0110076, 0.0386009, 0.219817
1.51, 0.0171271, 0.0110889, 0.347118, 0.0110889, 0.0371342, 0.180022
1.515, 0.0171721, 0.0109278, 0.346021, 0.0109278, 0.0371833, 0.225307
1.52, 0.0171658, 0.0109616, 0.343905, 0.0109616, 0.0373526, 0.157109
1.525, 0.0172019, 0.0108885, 0.342654, 0.0108885, 0.0390818, 0.225584
1.53, 0.0172031, 0.0108789, 0.340725, 0.0108789, 0.0385382, 0.152662
1.535, 0.0172085, 0.0108509, 0.338897, 0.0108509, 0.0391109, 0.137528
1.54, 0.0172564, 0.0107214, 0.337918, 0.0107214, 0.0402747, 0.134016
1.545, 0.0172528, 0.0107733, 0.335946, 0.0107733, 0.0399782, 0.117598
1.55, 0.0172706, 0.0106352, 0.334407, 0.0106352, 0.0373402, 0.217816
1.555, 0.0172964, 0.010564, 0.333038, 0.010564, 0.0401471, 0.271622
1.56, 0.0172972, 0.0105571, 0.3312, 0.0105571, 0.0355468, 0.202817
1.565, 0.0173154, 0.0105902, 0.329712, 0.0105902, 0.0362662, 0.169896
1.57, 0.0173182, 0.0104786, 0.327947, 0.0104786, 0.0364975, 0.176457
1.575, 0.0173696, 0.0103796, 0.327115, 0.0103796, 0.0373202, 0.130165
1.58, 0.0173771, 0.0104071, 0.325466, 0.0104071, 0.0386574, 0.204156
1.585, 0.0173733, 0.0102953, 0.323624, 0.0102953, 0.0381424, 0.123272
1.59, 0.0173971, 0.0103042, 0.322308, 0.0103042, 0.0386035, 0.271371
1.595, 0.0174071, 0.0101427, 0.320751, 0.0101427, 0.0376913, 0.196804
