Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0.725, 0.00273179, 0.0126616, 0.434778, 0.0126616, 0.0502722, 0.129256, 6
0.73, 0.00273755, 0.0126901, 0.435694, 0.0126901, 0.0492454, 0.0938233, 3
0.735, 0.00274325, 0.0127137, 0.436602, 0.0127137, 0.0479152, 0.0625432, 3
0.74, 0.00274885, 0.0127408, 0.437492, 0.0127408, 0.0490835, 0.0900196, 5
0.745, 0.00275484, 0.0127642, 0.438447, 0.0127642, 0.0478143, 0.0832714, 4
0.75, 0.00276033, 0.0127818, 0.43932, 0.0127818, 0.0507423, 0.0602007, 3
0.755, 0.00276597, 0.0128091, 0.440218, 0.0128091, 0.0481579, 0.116545, 6
0.76, 0.00277163, 0.0128508, 0.441119, 0.0128508, 0.0436157, 0.0728497, 4
0.765, 0.00277731, 0.0128637, 0.442022, 0.0128637, 0.0696966, 0.0826395, 4
0.77, 0.00278283, 0.0128971, 0.442901, 0.0128971, 0.0530901, 0.0719336, 3
0.775, 0.00278843, 0.0129192, 0.443792, 0.0129192, 0.0521757, 0.0746187, 3
0.78, 0.00279401, 0.0129418, 0.44468, 0.0129418, 0.0504147, 0.0646568, 3
0.785, 0.00279957, 0.01297, 0.445566, 0.01297, 0.0552187, 0.0667198, 3
0.79, 0.0028051, 0.0129915, 0.446446, 0.0129915, 0.0517206, 0.0616803, 3
0.795, 0.00281063, 0.0130207, 0.447326, 0.0130207, 0.0483418, 0.0590331, 3
0.8, 0.00281613, 0.0130418, 0.448202, 0.0130418, 0.0510948, 0.0599372, 3
0.805, 0.00282164, 0.0130663, 0.449078, 0.0130663, 0.0522347, 0.0614342, 3
0.81, 0.00282701, 0.0130963, 0.449932, 0.0130963, 0.0526417, 0.0951811, 5
0.815, 0.00283264, 0.013114, 0.450828, 0.013114, 0.0524677, 0.0817517, 4
0.82, 0.00283815, 0.0131372, 0.451706, 0.0131372, 0.0501665, 0.0795684, 4
0.825, 0.00284333, 0.0131746, 0.45253, 0.0131746, 0.0589036, 0.0569275, 3
0.83, 0.00284858, 0.0131886, 0.453366, 0.0131886, 0.0480231, 0.0921392, 5
0.835, 0.00285446, 0.013209, 0.454302, 0.013209, 0.053229, 0.0777491, 4
0.84, 0.00285955, 0.0132476, 0.455111, 0.0132476, 0.0687581, 0.0558655, 3
0.845, 0.00286503, 0.0132603, 0.455984, 0.0132603, 0.0494321, 0.0621141, 3
0.85, 0.00287015, 0.0132912, 0.456798, 0.0132912, 0.049968, 0.0581953, 3
0.855, 0.0028756, 0.0133201, 0.457666, 0.0133201, 0.0510938, 0.201603, 5
0.86, 0.00288086, 0.0133256, 0.458502, 0.0133256, 0.0496198, 0.102001, 6
0.865, 0.00288644, 0.0133549, 0.459392, 0.0133549, 0.0497461, 0.106069, 6
0.87, 0.00289163, 0.0133658, 0.460218, 0.0133658, 0.0518946, 0.0650999, 3
0.875, 0.00289641, 0.0134151, 0.460978, 0.0134151, 0.0508038, 0.086349, 5
0.88, 0.00290179, 0.0134203, 0.461834, 0.0134203, 0.0513089, 0.107567, 6
0.885, 0.00290732, 0.0134704, 0.462715, 0.0134704, 0.052664, 0.0591753, 3
0.89, 0.00291237, 0.013481, 0.463519, 0.013481, 0.050127, 0.0569196, 3
0.895, 0.00291772, 0.0135002, 0.46437, 0.0135002, 0.0513956, 0.122154, 6
0.9, 0.00292248, 0.0135138, 0.465127, 0.0135138, 0.0491751, 0.0725399, 4
0.905, 0.00292786, 0.013545, 0.465983, 0.013545, 0.049459, 0.0727566, 4
